"id","cuisine"
18009,"italian"
28583,"southern_us"
41580,"mexican"
29752,"mexican"
35687,"italian"
38527,"italian"
19666,"mexican"
41217,"italian"
28753,"mexican"
22659,"italian"
21749,"italian"
44967,"greek"
42969,"mexican"
44883,"italian"
20827,"italian"
23196,"italian"
35387,"chinese"
33780,"mexican"
19001,"italian"
16526,"italian"
42455,"chinese"
47453,"italian"
42478,"italian"
11885,"italian"
16585,"italian"
29639,"italian"
26245,"southern_us"
38516,"indian"
47520,"italian"
26212,"mexican"
23696,"italian"
14926,"chinese"
13292,"italian"
27346,"italian"
1384,"italian"
15959,"italian"
42297,"italian"
46235,"italian"
21181,"italian"
9809,"italian"
22982,"italian"
23120,"italian"
26743,"italian"
12741,"italian"
7050,"italian"
22437,"mexican"
14760,"mexican"
10649,"italian"
48065,"mexican"
39931,"chinese"
32935,"italian"
40142,"italian"
19103,"mexican"
38267,"italian"
30512,"italian"
3324,"southern_us"
26197,"italian"
384,"italian"
47230,"mexican"
39748,"italian"
41038,"southern_us"
24878,"italian"
42624,"italian"
45706,"italian"
8874,"mexican"
23878,"greek"
47234,"indian"
24075,"italian"
46323,"italian"
22562,"italian"
11358,"italian"
9201,"mexican"
38620,"italian"
47638,"italian"
21238,"italian"
11053,"southern_us"
46602,"italian"
13937,"italian"
21876,"southern_us"
20798,"mexican"
24381,"italian"
48178,"italian"
45832,"mexican"
27560,"chinese"
23247,"southern_us"
28975,"italian"
43230,"italian"
9126,"italian"
13021,"italian"
28194,"mexican"
25617,"mexican"
36125,"indian"
16454,"italian"
1607,"italian"
38526,"italian"
18755,"italian"
12035,"mexican"
16047,"greek"
15419,"italian"
16971,"italian"
31459,"italian"
27888,"italian"
13900,"italian"
12376,"italian"
1658,"italian"
29431,"mexican"
22290,"italian"
28464,"italian"
37953,"italian"
20814,"mexican"
35987,"mexican"
2329,"italian"
43237,"italian"
30647,"italian"
16675,"mexican"
37722,"mexican"
32438,"italian"
20287,"italian"
43296,"italian"
6237,"italian"
48560,"italian"
20810,"italian"
34951,"southern_us"
31850,"italian"
47745,"italian"
37815,"italian"
9872,"italian"
5592,"mexican"
27411,"french"
39320,"italian"
40247,"british"
19792,"italian"
40754,"italian"
14365,"italian"
14468,"southern_us"
47563,"italian"
19611,"italian"
7163,"mexican"
43069,"mexican"
27505,"italian"
36500,"chinese"
25932,"italian"
817,"italian"
8471,"italian"
48250,"italian"
9413,"italian"
12097,"italian"
8416,"italian"
5892,"italian"
676,"chinese"
47015,"mexican"
21891,"italian"
14630,"italian"
36195,"italian"
25981,"mexican"
39964,"french"
28298,"mexican"
31954,"italian"
26620,"mexican"
14932,"italian"
47426,"mexican"
1038,"italian"
8077,"italian"
37141,"italian"
45447,"southern_us"
9624,"mexican"
45589,"italian"
7265,"italian"
31844,"thai"
13046,"italian"
9867,"italian"
29184,"italian"
34783,"italian"
2823,"italian"
18932,"mexican"
11112,"mexican"
12859,"italian"
9365,"mexican"
44516,"cajun_creole"
18193,"italian"
46545,"mexican"
9900,"southern_us"
14815,"mexican"
39690,"italian"
22193,"southern_us"
11739,"southern_us"
27311,"italian"
36920,"italian"
7861,"chinese"
29248,"italian"
43142,"italian"
7574,"mexican"
8610,"italian"
989,"italian"
46926,"italian"
40816,"italian"
39726,"italian"
42229,"british"
10474,"italian"
22140,"italian"
31985,"italian"
46165,"southern_us"
20860,"italian"
42494,"italian"
15968,"italian"
20484,"cajun_creole"
26661,"italian"
47182,"mexican"
22528,"italian"
3861,"moroccan"
1203,"italian"
45040,"italian"
33287,"italian"
10097,"italian"
42005,"italian"
12423,"mexican"
39613,"italian"
30276,"southern_us"
18686,"southern_us"
3031,"italian"
40093,"mexican"
182,"italian"
46591,"southern_us"
4092,"italian"
13722,"italian"
44575,"italian"
14989,"mexican"
13270,"italian"
25529,"italian"
12140,"italian"
23127,"indian"
13523,"italian"
41270,"italian"
8362,"italian"
11735,"italian"
27935,"southern_us"
28198,"mexican"
37765,"italian"
33856,"mexican"
30198,"italian"
42521,"italian"
21567,"southern_us"
36995,"italian"
24967,"mexican"
45002,"italian"
48925,"italian"
36914,"italian"
2280,"italian"
14729,"italian"
4594,"italian"
2237,"mexican"
45631,"italian"
2317,"italian"
23079,"italian"
29333,"italian"
48066,"italian"
15737,"italian"
30580,"italian"
1119,"italian"
46336,"italian"
5026,"italian"
10749,"italian"
31020,"italian"
30805,"italian"
27653,"italian"
35060,"italian"
39174,"italian"
49509,"italian"
31784,"italian"
31408,"mexican"
36029,"italian"
11045,"southern_us"
6561,"italian"
26992,"italian"
31179,"italian"
35099,"italian"
11018,"italian"
17930,"mexican"
21302,"italian"
46352,"mexican"
25132,"italian"
7010,"italian"
25850,"italian"
19601,"italian"
7935,"italian"
34994,"italian"
25113,"mexican"
45523,"italian"
34977,"italian"
7124,"southern_us"
27514,"italian"
27178,"italian"
47880,"chinese"
29197,"italian"
16347,"italian"
20333,"mexican"
29112,"italian"
7510,"italian"
13897,"italian"
35699,"mexican"
20520,"italian"
38920,"italian"
21775,"mexican"
37475,"chinese"
40131,"italian"
1939,"italian"
48268,"italian"
34815,"italian"
13797,"italian"
39063,"italian"
29064,"chinese"
26896,"italian"
29477,"italian"
3352,"italian"
4966,"mexican"
7316,"italian"
23879,"mexican"
16525,"mexican"
32843,"italian"
39574,"italian"
32737,"italian"
44788,"italian"
28772,"italian"
34189,"italian"
33719,"italian"
25846,"italian"
1423,"italian"
4328,"italian"
579,"southern_us"
5219,"italian"
2314,"italian"
31143,"italian"
13409,"italian"
3281,"mexican"
15804,"italian"
40835,"italian"
39262,"italian"
37013,"mexican"
14807,"italian"
47956,"italian"
2580,"mexican"
13720,"mexican"
23008,"italian"
5951,"indian"
39312,"italian"
6176,"italian"
17617,"italian"
57,"mexican"
43422,"italian"
49403,"mexican"
44751,"italian"
21865,"italian"
26584,"italian"
39355,"italian"
14038,"italian"
45396,"italian"
49715,"mexican"
41515,"french"
30445,"mexican"
4090,"mexican"
17207,"mexican"
40376,"italian"
19398,"mexican"
22347,"italian"
49671,"mexican"
40854,"italian"
926,"mexican"
47919,"mexican"
20571,"italian"
18866,"french"
48742,"italian"
14577,"mexican"
29481,"mexican"
40996,"indian"
34470,"italian"
31147,"italian"
35932,"mexican"
27221,"italian"
48301,"italian"
29925,"italian"
48640,"cajun_creole"
22873,"mexican"
10565,"mexican"
15509,"italian"
37569,"italian"
13306,"italian"
40474,"italian"
15182,"indian"
8609,"italian"
32168,"italian"
1125,"indian"
25244,"italian"
46889,"italian"
13841,"italian"
47135,"mexican"
29036,"italian"
43533,"italian"
41631,"mexican"
22124,"italian"
18836,"italian"
35695,"southern_us"
5141,"italian"
41894,"italian"
4972,"italian"
34195,"italian"
14183,"italian"
15188,"italian"
8734,"italian"
30946,"italian"
5588,"italian"
49554,"italian"
1270,"italian"
1259,"italian"
45986,"italian"
22351,"southern_us"
300,"italian"
9278,"southern_us"
10021,"mexican"
17014,"italian"
40855,"italian"
18362,"italian"
16292,"mexican"
29924,"italian"
47174,"mexican"
4856,"italian"
15417,"italian"
19875,"italian"
42228,"italian"
36264,"mexican"
14571,"vietnamese"
23496,"italian"
43879,"mexican"
23431,"italian"
5499,"italian"
247,"italian"
48795,"italian"
47113,"italian"
489,"italian"
13036,"italian"
4838,"italian"
40630,"indian"
17576,"italian"
29972,"italian"
8123,"italian"
35918,"italian"
42669,"italian"
24632,"italian"
35740,"italian"
45670,"italian"
28041,"italian"
46688,"italian"
10309,"indian"
15367,"italian"
30562,"southern_us"
47151,"mexican"
47300,"mexican"
31200,"italian"
5749,"italian"
41807,"italian"
13990,"mexican"
23572,"italian"
872,"italian"
38085,"italian"
5248,"italian"
26309,"southern_us"
26880,"italian"
41559,"mexican"
8059,"italian"
26041,"italian"
30019,"italian"
7207,"italian"
30309,"italian"
2092,"mexican"
8023,"chinese"
4016,"southern_us"
24631,"italian"
35068,"italian"
8523,"mexican"
28463,"italian"
8629,"italian"
43829,"italian"
22129,"cajun_creole"
34505,"italian"
38200,"chinese"
36513,"chinese"
32187,"italian"
7788,"southern_us"
31130,"southern_us"
40483,"italian"
2224,"italian"
14143,"italian"
22889,"italian"
17406,"mexican"
10451,"italian"
19844,"italian"
23416,"italian"
33874,"mexican"
39951,"italian"
41361,"italian"
44659,"mexican"
8836,"italian"
21709,"italian"
22993,"mexican"
39191,"italian"
17182,"mexican"
20507,"italian"
42397,"italian"
18897,"italian"
3797,"mexican"
11041,"southern_us"
807,"italian"
3514,"italian"
12936,"italian"
15050,"italian"
43377,"southern_us"
10471,"italian"
30721,"italian"
14333,"italian"
6260,"italian"
7712,"italian"
19048,"southern_us"
21455,"mexican"
18575,"southern_us"
47647,"italian"
35947,"italian"
14499,"italian"
43525,"british"
5723,"italian"
48497,"southern_us"
43822,"southern_us"
525,"italian"
30594,"mexican"
